WMO clients;Population;515;Number;2022
Widowed;Population;225;Number;2024
Percentage young people with youth care;Population;4.90%;Percentage;2022
Not married;Population;5,545;Number;2024
Mortality total;Population;100;Number;2023
Mortality relative;Population;13;Number per 1000 inhabitants;2023
Men;Population;4;Number;2024
Married;Population;1,72;Number;2024
Inhabitants;Population;8,02;Number;2024
Education level medium;Population;1,49;Number;2022
Education level low;Population;670;Number;2022
Education level high;Population;4,44;Number;2022
Divorced;Population;530;Number;2024
Births total;Population;70;Number;2023
Births relative;Population;9;Number per 1000 inhabitants;2023
Ages 65 and up;Population;1,46;Number;2024
Ages 45 - 65;Population;1,72;Number;2024
Ages 25 - 45;Population;3;Number;2024
Ages 15 - 25;Population;1,22;Number;2024
Ages 0 - 15;Population;620;Number;2024
Train station distance;Proximity;1.90;Average in Euro;2022
Tanning salon distance;Proximity;1;Average number;2023
Swimming pool distance;Proximity;1.60;Average in Euro;2023
Sports field distance;Proximity;2.90;Average in Euro;2017
Snack bars within 5 km;Proximity;655;Average number;2023
Snack bars within 3 km;Proximity;391;Average number;2023
Snack bars within 1 km;Proximity;15;Average number;2023
Snack bar distance;Proximity;0.40;Average in Euro;2023
Semi-public green space total distance;Proximity;2.30;Average in Euro;2017
Secondary education VMBO within 5 km;Proximity;26;Average number;2022
Secondary education VMBO within 3 km;Proximity;11;Average number;2022
Secondary education VMBO within 10 km;Proximity;58;Average number;2022
Secondary education VMBO distance;Proximity;1.10;Average in Euro;2022
Secondary education total within 5 km;Proximity;41;Average number;2022
Secondary education total within 3 km;Proximity;17;Average number;2022
Secondary education total within 10 km;Proximity;79;Average number;2022
Secondary education total distance;Proximity;1.10;Average in Euro;2022
Secondary education HAVO VWO within 5 km;Proximity;28;Average number;2022
Secondary education HAVO VWO within 3 km;Proximity;12;Average number;2022
Secondary education HAVO VWO within 10 km;Proximity;53;Average number;2022
Secondary education HAVO VWO distance;Proximity;1.10;Average in Euro;2022
Sauna distance;Proximity;2;Average number;2023
Restaurants within 5 km;Proximity;1,845;Average number;2023
Restaurants within 3 km;Proximity;1,064;Average number;2023
Restaurants within 1 km;Proximity;41;Average number;2023
Restaurant distance;Proximity;0.30;Average in Euro;2023
Residential recreational area distance;Proximity;4.80;Average in Euro;2017
Recreational inland water distance;Proximity;1.00;Average in Euro;2017
Public green space total distance;Proximity;0.40;Average in Euro;2017
Primary education within 5 km;Proximity;74;Average number;2022
Primary education within 3 km;Proximity;30;Average number;2022
Primary education within 1 km;Proximity;2;Average number;2022
Primary education distance;Proximity;0.60;Average in Euro;2022
Pop venue distance;Proximity;2;Average number;2022
Pharmacy distance;Proximity;0.70;Average in Euro;2022
Performing arts within 5 km;Proximity;34;Average number;2022
Performing arts within 20 km;Proximity;59;Average number;2022
Performing arts within 10 km;Proximity;51;Average number;2022
Performing arts distance;Proximity;0.80;Average in Euro;2022
Park or garden distance;Proximity;0.50;Average in Euro;2017
Other daily groceries within 5 km;Proximity;888;Average number;2023
Other daily groceries within 3 km;Proximity;471;Average number;2023
Other daily groceries within 1 km;Proximity;11;Average number;2023
Other daily groceries distance;Proximity;0.40;Average in Euro;2023
Open wet natural area distance;Proximity;6.20;Average in Euro;2017
Open natural area total distance;Proximity;6.20;Average in Euro;2017
Open dry natural area distance;Proximity;7.20;Average in Euro;2017
Museums within 5 km;Proximity;44;Average number;2022
Museums within 20 km;Proximity;62;Average number;2022
Museums within 10 km;Proximity;48;Average number;2022
Museum distance;Proximity;0.50;Average in Euro;2022
Major transfer station distance;Proximity;2.30;Average in Euro;2022
Main road access distance;Proximity;4.10;Average in Euro;2022
Library distance;Proximity;1.60;Average in Euro;2023
Large supermarkets within 5 km;Proximity;141;Average number;2023
Large supermarkets within 3 km;Proximity;77;Average number;2023
Large supermarkets within 1 km;Proximity;4;Average number;2023
Large supermarket distance;Proximity;0.60;Average in Euro;2023
Hotels within 5 km;Proximity;361.80;Average in Euro;2022
Hotels within 20 km;Proximity;500;Average number;2022
Hotels within 10 km;Proximity;434;Average number;2022
Hotel distance;Proximity;0;Average number;2022
Hospitals within 5 km;Proximity;1;Average number;2022
